seller,nome,reviews_rating,reviews_total,old_money,new_money
,Notebook Positivo Master N250i Core I5 8gb Ram 240gb Ssd,,,1.390,77
Por INPOWER ,Notebook Acer Nitro V15 ANV15-51-58AZ Core I5-13420h 8gb 512gb Rtx 3050 Cor Preto,4.8,(1410),7.399,4.654
Por 123 Comprou ,"Notebook Positivo Vision Intel Core i3 8gb RAM 256gb Ssd Tela 15.6"" Full Hd Linux - Preto",4.6,(176),3.212,2.024
Por Acer Brasil ,Notebook Aspire GO 15 Ag15-71p-5405 Ci5 16gb 512gb Ssd Led Linux Acer,5.0,(1),4.932,2.999
Por Eshop ,"Notebook Lenovo Ideapad 1 Intel Core i3 1215U 8GB RAM 256GB SSD Windows 11 Home Tela 15,6"" 82VY000SBR",4.8,(5909),3.699,2.583
Por Vikings ,Notebook Acer Aspire 5 A515-45-r0xr Ryzen7 8gb 256gb Ssd 15.6 Full Hd Linux Gutta,4.8,(862),4.141,2.753
Por Positivo ,Notebook Positivo Vision C15 Lumina Bar Celeron 4gb 128gb Emmc Tela 15 Hd Antirreflexo Windows 11 Tecla Link Cinza,4.6,(3602),1.999,1.499
Por Acer Brasil ,"Notebook Gamer Acer Nitro V ANV15-51-57WS Intel® Core™ i5-13420H 13ªGeração 512SSD 8GB Nvidia® GeForce® RTX 3050 GDDR6 Linux Gutta 15,6'",4.8,(3527),5.299,4.699
Por Mercado Livre ,"Notebook Acer Aspire 3 Intel Core I3 - N305, 8G RAM, 256GB SSD, Windows 11 Home, Tela 15,6"" Full HD - A315-510P-34XC 110V/220V",4.8,(9240),3.682,2.599
Por Dell ,Notebook Dell Inspiron I15-i120k-a25p I5 8gb 512gb 15.6 W11,4.8,(2074),3.698,3.370
Por Vikings ,Notebook Acer Gamer Nitro V15 Intel Core i7 13ª Ger. 32GB 512SSD RTX3050 com 6GB GDDR6 Nvidia GeForce Linux Gutta ANV15-51-73BP,4.9,(195),8.998,5.983
Por Acer Brasil ,Notebook Gamer Acer Nitro V Intel Core i7 13ª Geração 16GB 512GB RTX4050 Linux Gutta 15.6' FHD ANV15-51-7037,4.8,(2034),7.299,6.099
Por Acer Brasil ,Notebook Acer Nitro 51uz Ci5 13ªg 16gb Ram 512ssd Rtx4050,5.0,(1),6.999,5.199
Por Acer Brasil ,"Notebook Gamer Acer Nitro V Intel Core I5 - 13420H, 8GB Ram, 512GB SSD, NVIDIA RTX4050, Windows 11 Home, Tela 15,6"" Full HD - ANV15-51-54DL",4.8,(1518),7.299,5.499
Por Vikings ,Notebook Acer Vero AV15-53P-72JT Intel Core i7 – 1355U 13ªG 16GB 512GB SSD W11 15.6”,5.0,(2),6.284,3.871
Por Carrefour ,"Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 15,6'' Cinza - Ub261",4.5,(462),1.999,1.384
Por Asus ,"Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 8gb Ram 512gb Ssd Intel Iris Xe Windows 11 Home Tela 15,6 Fhd Silver - Nj1740w",4.9,(38),3.599,3.042
Por NegociuN ,"Notebook Acer Aspire 3 Intel Core i3– N305 FHD 15.6"" LED TN UHD para processadores Inte 256GB SDD 8GB RAM Debian 64 bits Prata - A315-510P-320B",4.8,(451),3.410,2.514
Por Eshop ,"Notebook VAIO FE15 Intel Core i5 12ªgen 8GB 512GB SSD Tela 15,6'' Full HD Antirreflexo Linux - Cinza Grafite - VJFE54F11XB2321H",4.8,(63),4.950,2.945
Por Acer Brasil ,Notebook Gamer Predator Helios Neo / Phn16-72-74vx / Intel® Core I7-14700hx De 14ªgeração / 16gb / 512ssd / Windows 11 Home / Nvidia Geforce Rtx 4070 Gddr6 / Tela 16,4.8,(124),12.999,9.999
Por Eshop ,"Notebook Lenovo IdeaPad 1 15IAU7 Intel Core i7-1255U HD 15.6"" Intel Iris Xe 512GB SSD 12GB RAM Windows 11- 82VY000PBR",4.7,(279),5.119,3.704
Por Mobcom ,Notebook Lenovo LOQ-e 15iax9e Intel Core i5-12450hx 16gb 512gb Ssd Rtx 3050 Windows 11 15.6 - 83me0007br Luna Grey,4.9,(555),5.879,4.799
Por Positivo ,Notebook Positivo Vision C14 Lumina Bar Celeron 8gb 256gb Emmc Tela 14 Polegadas Hd Antirreflexo Linux Tecla Link - Cinza,4.5,(520),2.099,1.399
,"8 Unidades De Cadernos Em Inglês, Prática De Escrita À Mão, ",,,680,65
Por Dell ,Notebook Inspiron I15-i1300-a80p I7 16gb 1tb W11 Preto Dell,,,5.398,4.899
Por Mercado Livre ,"Notebook ASUS Vivobook Go 15 E1504 AMD RYZEN 5 7520U 8GB Ram 256GB SSD Linux KeepOS 15,6” FHD Black E1504FA-NJ731",4.8,(996),2.802,2.527
Por 123 Comprou ,Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza,4.6,(606),2.064,1.277
Por 2Eletro ,Notebook Hp 250r G9 Intel Core I5 1335u 8gb 256gb Ssd 15.6 W11 Pro Ay6w3la,4.1,(18),4.999,3.054
Por Mercado Livre ,Notebook Asus Vivobook Go Core I3 N305 4gb 256ssd W11 Fhd,4.7,(645),2.599,2.399
,Laptop Dell Latitude 3540 Intel I7-1355u 16gb 512 Gb Nvme M2 Cinza-escuro 16gb (Recondicionado),,,3.789,180
Por Dell ,Notebook Dell Inspiron I15-i120k-a35p I5 16gb 1tb 15.6 W11,4.8,(2245),4.517,215
Por Asus ,"Notebook Asus Vivobook Go 15 E1504fa Amd Ryzen 5 7520u 16gb Ram 512gb Ssd Linux Keepos Tela 15,6 Led Fhd Black - Nj1288",4.8,(380),3.299,2.613
Por Asus ,"Notebook Asus Vivobook Go 15 E1504fa Amd Ryzen 5 7520u 4gb Ram 256gb Ssd Linux Keepos Tela 15,6 Fhd Black - Nj1287",4.6,(136),2.199,1.820
,Recargas Práticas De Notebook De Folhas Soltas E Planas De 4,,,682,65
Por Mercado Livre ,"Notebook ASUS TUF Gaming F15 Intel Core i7 13620H RTX4060 16GB RAM 512GB SSD Windows 11 Home Tela 165Hz Nivel IPS 15,6"" FHD Mecha Gray - FX507VV-HQ333W",4.8,(25),11.499,9.899
,Notebook Vaio Fe15 Amd Ryzen 5 8gb Ram 256gb Windows 11 Home Cor Cinza,4.8,(84),3.563,2.849
Por Eshop ,"Notebook Vaio Fe15 - Intel Core I3 12th, 8gb 256gb Ssd, Tela 15,6'' Full Hd Antirreflexo, Linux - Vjfe54f11x-b0921h - Cinza Grafite",4.7,(15),3.900,2.499
Por Dell ,Notebook Dell Inspiron I15-i3100-a15p Core 3 8gb 512gb W11 Preto,,,2.949,140
Por TCN ,"Notebook Lenovo Ideapad 1i Intel Core I3 - 1215U, 4GB RAM, 256GB SSD, Windows 11 Home, Tela 15.6'' - 82VY000TBR Cor cinza",4.8,(1536),3.190,2.289
Por Eshop ,"Notebook Vaio fe16 amd ryzen 5-5625u linux 12gb 512gb ssd tela 16"" ips wuxga antirreflexo cinza grafite vjfe69f11x-b1211h memória expansível até 64gb",4.8,(42),3.849,3.069
Por Acer Brasil ,Notebook Acer Aspire 15 Ag15-51p-39mu Ci3 8gb 256gb Ssd Led Ips W11,5.0,(1),4.004,2.699
,"4 Unidades De Cadernos Em Inglês, Prática De Escrita À Mão, ",,,385,37
,Caderno Prático De Folhas Soltas E Planas De 150 Peças Para ,,,342,33
,"2 Peças De Mini Bloco De Notas Prático, Caderno, Material Es",,,191,
Por 2Eletro ,"Notebook Samsung Book4 I5-1335u 8gb 256gb Ssd 15,6 Full Hd Windows 11 Pro Np754xgj-kg5br 110v/220v",4.8,(74),4.398,3.899
Por Asus ,Notebook Asus Vivobook S14 S3407va Intel Core I7 13620h 16gb Ram 512gb Ssd Windows 11 Tela 14 Led Fhd Silver - Ly043w,,,5.999,5.045
Por Positivo ,Notebook VAIO FE16 AMD Ryzen 5-5625U Windows 11 Home 16GB RAM 512GB SSD Wi-Fi 6 Tela 16” IPS Full HD WUXGA Antirreflexo Cinza Grafite Vjfe69f11xb0721h - Permite upgrade de memória RAM e SSD,5.0,(1),4.887,3.849
Por Eshop ,Notebook Acer Aspire 5 15.6 Fhd I5-12450h 256gb Ssd 8gb Cor Cinza,4.6,(126),3.990,3.075
Por Dell ,"Notebook Inspiron I16-U7155H-A10 16"" prateado 16GB de Ram - 1TB SSD - Intel Core Ultra 7",5.0,(4),9.999,476
Por 123 Comprou ,"Notebook Positivo Vision Intel Core i3 8gb RAM 256gb Ssd Tela 15.6"" Full Hd Linux - Preto",4.6,(176),3.212,2.024
Por NegociuN ,"Notebook Vaio Fe15 Amd Ryzen 5 12gb 512gb Ssd, Tela 15,6'' Full Hd Antirreflexo, Windows 11 Home, Cinza Grafite",4.8,(441),3.670,2.984
Por INPOWER ,"Notebook Gamer Acer Nitro V15 - 15.6 144hz Ips, Intel Core I7 13620h (13ª Geração) 4.90ghz, Nvidia Geforce Rtx 3050 6gb Gddr6, 8gb Ram Ddr5, 512gb Ssd Pcie 4.0 Nvme, Áudio Dts, Preto - Anv15-51-7837",5.0,(48),5.899,4.987
Por Eshop ,"Notebook Gamer Acer Nitro V15 - 15.6 144hz Ips, Intel Core I7 13620h (13ª Geração) 4.90ghz, Nvidia Geforce Rtx 3050 6gb Gddr6, 8gb Ram Ddr5, 512gb Ssd Pcie 4.0 Nvme, Áudio Dts, Preto - Anv15-51-7837",5.0,(48),7.419,4.939
,"A5 Reading Journal, Resenhas De Livros, Caderno, Diário",,,86,
,1 Livro De Menus Notebook Weekly Rasable Notebook Household,,,66,
Por Positivo ,"Notebook Positivo Duo 2 em 1 Intel Celeron C4128B-3 4GB 128GB 11,6"" IPS HD Windows 11",4.5,(5261),1.649,1.299
Por 2Eletro ,"Notebook Gamer Acer Nitro V15 I7-13620h 13ªGen 8gb 512gb Rtx3050 6gb Linux 15.6"" FHD Preto - Anv15-51-7837",4.5,(37),6.998,4.799
Por Dell ,Notebook Dell Inspiron I15-i120k-a15p I3 8gb 512gb 15.6 W11,4.8,(1166),2.929,139
Por 123 Comprou ,Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza,4.6,(606),2.064,1.277
Por Positivo ,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza",4.6,(1184),2.641,1.756
Por 123 Comprou ,Notebook Positivo Vision C15 Lumina Bar Celeron 8gb 128gb Emmc 15 Hd Linux - Cinza,3.7,(3),2.427,1.529
Por Samsung ,"Notebook Samsung Galaxy Book4 Intel® U300 (1.20 Ghz, até 4.4GHz, 8 MB L3 Cache), Windows 11 Home, 8GB, 256GB SSD, UHD Graphics, 15.6'' Full HD LED, 1.55kg",4.8,(8838),3.099,2.783
Por 2Eletro ,Notebook Acer Vero AV15-53P-56HM Intel® Core™ i5 – 1335U 15.6” Full HD Intel® Iris® Xe 512 GB SSD 8 GB RAM Windows 11 Home,4.9,(51),4.199,3.299
Por Vaio ,"Notebook Vaio Fe16 Amd Ryzen 7-5825u Linux 16gb RAM 512gb Ssd Wi-Fi 6 Tela 16"" Ips Wuxga Antirreflexo Cinza Grafite Vjfe69f11xb0121h - Permite upgrade de memória RAM e SSD",4.8,(106),4.799,3.299
Por Acer Brasil ,"Notebook Acer TravelMate Intel® Core™ i7–1355U de 13ª Geração 16GB RAM 512SSD Windows 11 Pro 14"" WUXGA TMP214-55-70G2",4.8,(13),7.999,4.499
Por Mercado Livre ,"Notebook TUF Gaming F16, Intel Core i7 13a geração, NVIDIA RTX™ 4050, 8GB, 512GB SSD, KeepOS, 16"" LED FHD+, Mecha Gray ASUS",,,9.499,7.299
Por Eshop ,Acer Aspire 5 15.6 Fhd I7-12650h Ssd 256gb 8gb Linux Gutta Cor Gamut,4.8,(154),4.899,3.419
,"Notebook Ddr4 Ultra Slim Fhd De 14,1 Polegadas",,,1.305,72
Por Mobcom ,Notebook Acer Aspire 5 Ryzen 7 15.6 Radeon 512gb 8gb Linux,4.8,(1105),3.428,2.999
Por Asus ,"Notebook ASUS Vivobook Go E1504GA Intel Core i3 N305 8GB Ram 512GB SSD Windows 11 Tela 15,6"" FHD Silver - NJ435W",4.9,(770),3.199,2.847
Por Carrefour ,"Notebook Vaio Fe16 Amd Ryzen 5-5625u Linux 16gb RAM 512gb Ssd Wi-Fi 6 Tela 16"" Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe69f11xb0711h - Permite upgrade de memória RAM e SSD",5.0,(2),3.999,3.499
Por Acer Brasil ,Notebook Aspire Go Ag15-71p-5939 Ci5 8gb 256gb Ssd Led Tn W11 Acer,,,4.637,2.999
Por Vaio ,"Notebook Vaio Fe16 Amd Ryzen 7-5825u Linux 32gb RAM 512gb Ssd Wi-Fi 6 Tela 16"" Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe69f11xb0221h - - Permite upgrade de memória RAM e SSD",4.8,(59),4.999,3.799
Por Acer Brasil ,Notebook Aspire Ag15-71pt-58sx Ci5 8gb 512gb Ssd Touch Led W11 Acer,,,5.087,3.599
,Notebook Hp Elitebook 845 G8 Ryzen 3 Pro 16gb Ram 256gb Ssd Prata (Recondicionado),5.0,(4),2.149,102
Por Loi Brasil ,Notebook Positivo Master N1250 Pentium N5030 4gb 128gb W11 Cor Cinza,4.6,(663),1.647,1.416
Por HP ,Notebook Hp 256r G9 Intel Core I3-1315u 15.6 Hd Intel Uhd Graphics 256gb Ssd 8gb Ram Windows 11 Home 64 Sl - AN1A2LA#AK4,4.8,(336),3.399,2.599
Por Loi Brasil ,"Notebook Vaio Fe16 Amd Ryzen 5-5625u Windows 11 Home 8gb RAM 256gb Ssd Wi-Fi 6 Tela 16"" Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe69f11x-b0421h - Permite upgrade de memória RAM e SSD",5.0,(1),4.666,3.199
Por VIPH ,"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 5 8gb 512gb, Tela 15 Polegadas Full Hd Antirreflexo, Linux - Preto",4.2,(5),2.769,2.599
Por NegociuN ,"Notebook Positivo Vision I15 Intel Core I3-N300 8GB 256GB SSD Windows 11 Home 15"" FHD Preto - Lumina Bar",4.7,(230),3.292,2.629
Por 123 Comprou ,Notebook VAIO FE16 AMD Ryzen 5-5625U Linux 8GB RAM 256GB SSD Wi-Fi 6 Tela 16'' IPS WUXGA Antirreflexo - Cinza Grafite - Vjfe69f11x-b0411h - Permite upgrade de memória RAM e SSD,4.8,(51),4.570,2.969
Por Loi Brasil ,Notebook Positivo Vision C Lumina Bar 4gb 128gb 14 Hd W11 Cor Cinza,4.7,(69),1.719,1.479
Por Mega Mamute ,Notebook Vaio Fe15 15.6 Fhd I3-1215u 8gb Ssd 256gb W11 Cinza,4.8,(141),4.284,2.999
Por Mercado Livre ,Notebook Asus Tuf Gaming F16 Fx607vu Rtx4050 Intel Core 5 210h 16gb Ram 512gb Ssd Windows 11 Tela Nível Ips 16 Led 144hz Gray - Rl053w,4.7,(13),9.499,7.199
Por Asus ,"Notebook ASUS Vivobook 15 M1502YA AMD Ryzen 7 5825U 16GB Ram 1TB SSD Linux KeepOS 15,6"" FHD Cool Silver - NJ613",5.0,(5),4.099,3.390
,Notebook Lenovo Thinkpad T14 G4 Core I7 13th 32gb Ram 512ssd Preto (Novo com caixa aberta),5.0,(1),6.399,4.287
,Notebook Dell Latitude 5420 I5 11° Ge 16gb Ssd 256gb W10 Pro Cinza (Recondicionado),,,2.299,109
,Notebook Lenovo T480 Core I5-8ªth 16gb Ssd 240gb Tela Hd Cor Black - Excelente (Recondicionado),,,1.829,87
Por Apple ,"Apple MacBook Air de 13"" (Meia-noite, Chip M2 da Apple com CPU de 8 núcleos, GPU de 8 núcleos e Neural Engine de 16 núcleos, Memória unificada de 16 GB, SSD de 256 GB)",,,12.499,8.999
Por Positivo ,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8gb 256gb Emmc, Tela 15 Polegadas Hd Antirreflexo, Linux, Tecla Link, Cinza",4.7,(209),2.199,1.599
Por Positivo ,Notebook Positivo Vision C14 Intel® Celeron® Linux 4GB 128GB eMMC 14” HD Lumina BAR – Cinza,4.6,(4589),1.849,1.199
Por Positivo ,"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 7 32gb 512gb, Tela 15 Polegadas Full Hd Antirreflexo, Linux - Preto",4.6,(54),4.299,3.299
Por Mercado Livre ,Notebook Asus Vivobook 16 Intel Core I7 1355U 16GB RAM 1TB SSD Windows 11 Home Tela 16 Fhd Cool Silver – X1605VA-MB764W,4.8,(170),4.999,238
Por Positivo ,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza",4.6,(1184),2.641,1.756
,Notebook Acer Predator Gamer Phn16-71-72w6 I7-13650hx 16gb 512gb Ssd Rtx 4060 Windows 11 Home Tela 16 Wuxga,4.9,(943),9.990,9.390
Por Micro Livre ,Notebook Lenovo E14 Core I5 8 GB Ssd256 14 Win - Excelente (Recondicionado),,,2.506,1.954
Por Eshop ,Notebook Samsung Book4 I3 8gb 256 Ssd W11p Np754xgj-kg6br,5.0,(1),4.749,3.699
Por Positivo ,"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 7 16gb 512gb, Tela 15 Polegadas Full Hd Antirreflexo, Linux - Preto",4.6,(56),3.899,2.999
Por Acer Brasil ,Notebook Acer Aspire 58md Ci5 13°g W11 Home  512ssd 8gb Ram,,,3.999,3.199
Por Eletro2U ,"Notebook Lenovo Ideapad Intel Celeron - N4020, 4GB RAM, 128SSD, Windows 11 Home C/office, Tela Led 15,6"", Cor Cinza - 82VX0001BR",4.7,(1879),2.499,1.799
Por Positivo ,Notebook Positivo Vision C14 Lumina BAR Celeron 4GB 128GB eMMC Tela 14 Polegadas HD Antirreflexo Windows 11 Tecla Link Cinza,4.6,(4589),1.415,1.297
Por Micro Livre ,Notebook Lenovo Thinkpad T480 14  I5 8ª 8gb Ssd 256gb Preto (Recondicionado),4.7,(89),1.799,1.637
Por Mercado Livre ,"Notebook ASUS Vivobook 15, Intel Core i5 12a geração, 8GB, 256GB SSD, KeepOS, 15,6"" LED FHD, Quiet Blue",5.0,(5),3.249,2.862
Por 123 Comprou ,"Notebook Positivo Vision Intel Core i3 8gb RAM 256gb Ssd Tela 15.6"" Full Hd Linux - Preto",4.6,(176),3.212,2.024
Por NegociuN ,"Notebook Vaio Fe15 Amd Ryzen 5 12gb 512gb Ssd, Tela 15,6'' Full Hd Antirreflexo, Windows 11 Home, Cinza Grafite",4.8,(441),3.670,2.984
Por INPOWER ,"Notebook Gamer Acer Nitro V15 - 15.6 144hz Ips, Intel Core I7 13620h (13ª Geração) 4.90ghz, Nvidia Geforce Rtx 3050 6gb Gddr6, 8gb Ram Ddr5, 512gb Ssd Pcie 4.0 Nvme, Áudio Dts, Preto - Anv15-51-7837",5.0,(48),5.899,4.987
Por Eletro2U ,"Notebook Lenovo Ideapad 1i Intel Core i5 - 1235U, 8GB RAM, 512GB SSD, Windows 11 Home, Tela 15,6'' HD - 82VY000QBR",4.8,(4903),3.999,3.299
Por Mercado Livre ,"Notebook ASUS Vivobook Go E1504FA AMD Ryzen 5 7520U 8GB Ram 256GB SSD Windows 11 Tela 15,6"" FHD Black - NJ825W",4.8,(159),2.999,2.629
Por Asus ,"Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 16gb Ram 512gb Ssd Linux Keepos Intel Iris Xe Tela 15,6 Led Fhd Blue - Nj1746",4.9,(42),3.699,2.909
Por Mercado Livre ,Notebook Acer Aspire 15 555Q Intel Ci5 13gen 8gb 256ssd W11,4.8,(607),4.372,2.999
,"Apple MacBook Air de 13"" Estelar Chip M2 da Apple com CPU de 8 núcleos GPU de 8 núcleos e Neural Engine de 16 núcleos Memória unificada de 16 GB SSD de 256 GB",,,7.199,692
Por Eshop ,"Notebook Vaio Fe15 Intel I5 1235u 8gb 512gb Ssd Linux 15,6''",5.0,(2),4.990,3.079
