seller,nome,reviews_rating,reviews_total,old_money,new_money
,Notebook Asus Celeron N4020 15.6 128gb W11h X515ma-br933ws,4.7,(669),1.649,78
,Notebook Dell Latitude 5310 Core I5 10th 16gb Ram 256gb Ssd Cinza - Excelente (Recondicionado),,,2.548,121
,"Macbook Pro 14 Apple Pro M4 24 GB SSD 512 GB de espaço, cor preta",4.0,(4),16.405,781
,"Notebook Positivo Vision I15 Lumina Bar, Core I3, 11th, 8gb 256gb Ssd, Tela 15 Polegadas Full Hd Antirreflexo, W11 - Ci",4.7,(132),2.299,109
,Notebook Core I5 Dell Latitude 16gb Ram 256gb Ssd M2 Win 11,,,2.662,126
,Dell Latitude 5410 Core I5 10th 16gb Ssd 256gb W11 Touch Fhd,5.0,(4),3.899,2.963
Por 123 Comprou ,Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza,4.6,(606),2.064,1.277
Por Positivo ,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza",4.6,(1184),2.641,1.756
Por 123 Comprou ,Notebook Positivo Vision C15 Lumina Bar Celeron 8gb 128gb Emmc 15 Hd Linux - Cinza,3.7,(3),2.427,1.529
,Notebook Dell Core I5 11°ger 32g Memória Ssd 512gb Telatouch Cinza (Recondicionado),5.0,(4),2.898,138
Por HP ,Notebook HP 256R G9 Intel Core i3-1315U 15.6 HD Intel UHD Graphics 256GB SSD 8GB RAM Windows 11 Home 64 SL - BQ9K8AT#AK4,,,2.599,123
,SSD LG Gram 17 Evo i7-1360P de 16 GB e 1 TB preto,,,11.899,566
,Notebook Lenovo Thinkpad T490 Core I5 8ªger 16gb Ssd 256gb - Bom (Recondicionado),,,1.689,80
,Workstation Dell 7550 Xeon 10ag 64gb Ssd 512gb Nvidia 4gb,,,4.999,3.599
Por Samsung ,"Notebook Samsung Galaxy Book4, Windows 11 Home, Intel® Core 5, 16gb, 512gb Ssd, Nvidia® Geforce® Mx570, 15.6'' Full Hd Led, Fingerprint - Grafite",4.8,(21),5.649,269
,"Notebook Lenovo IdeaPad 1i Intel Core i3-1215U 4GB 256GB SSD Windows 11 Home 14"" 83AF0000BR",4.8,(148),2.565,122
,"Notebook Acer TravelMate TMP214-55-54ZZ Intel® Core™ i5 – 1335U de 13ªGen 16GB 512GB SSD W11 Pro 14""",5.0,(9),3.875,184
,"MacBook Pro MacBook Pro 16, notebook preto de 16,2"", 24 GB de RAM - SSD de 512 GB - Apple M4",5.0,(1),20.079,956
,"Notebook ASUS X515KA Intel Celeron Dual Core N4500 4GB Ram 128GB SSD Windows 11 Home 15,6 HD Grey EJ303WS",4.6,(420),2.499,2.199
,Notebook Dell 5410 Tela Full Hd  I5-10ª Ger 16gb Ssd 512gb,4.0,(1),2.399,114
,Notebook Hp Core I5 6a Geração 16gb 256gb Ssd Win10 Pro Fhd,,,1.840,87
,Notebook 256-g9 I3 8gb 256gb Ssd 15w11 7z3r2la Hp Cx 1 Un Cor Preto,4.8,(503),2.849,135
,Lenovo E480: I7-8th 16gb Ram 256gb Ssd + Placa De Video Preto (Recondicionado),,,4.599,2.345
,Notebook Lenovo Thinkpad E14 Amd Ryzen 5 16gb 512gb W11 Pro,,,5.257,250
,Macbook Air 2012 - A1466 - Core I5 - Ssd 120gb - 4gb Ram,,,1.599,76
,Notebook Asus Vivobook Go 15 Intel Celeron 4gb 128gb Wind11,4.6,(15),1.818,174
,Notebook Lenovo Thinkpad E14 Intel Ultra 5 16gb 256gb W11,,,6.220,296
,"Notebook Lenovo Yoga Slim 6i Intel Core i5-1240P Evo 16gb 512gb SSD Windows 11 Home Tela 14"" Cor Storm grey 83C70000BR",4.8,(191),5.058,240
,Notebook Dell Latitude 5480 /core I5-7°ger. / 8gb /ssd 240gb,,,1.599,76
,"Notebook Latitude Dell Latitude 5400 14"" preto 16GB de Ram - 512GB SSD - Intel Core i7",,,3.340,159
,Notebook Lenovo Thinkpad E14 I7 10th 16gb Ram 256gb Ssd,,,2.500,119
,Notebook Hp 445 G10 Ryzen 5 7530u Radeon 512gb Nvme 32gb Ram,5.0,(2),3.698,176
,Notebook Dell Latitude 5300 Core I5 8ªg 8gb 256gb Cartão Sim - Bom (Recondicionado),,,1.705,81
,Macbook Air 13 Apple M4 8-core 16gb Ram 256gb Loja Top 5,,,9.500,8.265
,"MacBook Air M1 2020 13"" ouro 8GB de Ram - 256GB SSD - Apple M",4.9,(251),5.600,538
,"MacBook Air M2 (2022) 13.6"" space gray 8GB de Ram - 256GB SSD - Apple M",4.9,(400),6.799,323
,"Samsung Chromebook 4 Intel Dual-Core 4GB 32GB Tela 11.6"" Prata XE310XBA-KT3BR Google Chrome OS HD LED",4.6,(1272),1.499,145
,"Notebook Lenovo Ideapad 1 Celeron 4gb 128gb Ssd 15,6 W11 Cor Cinza - Excelente (Recondicionado)",,,1.799,85
,Notebook Ideapad Gaming 3 R7 16gb 512gbssd Rtx3060 15.6 W11 Cor Shadow black,4.9,(172),6.499,309
,Macbook Air M4/ 10-core Gpu/ 24gb Ram / 512gb Ssd,,,11.799,561
,Notebook Dell 7300 Core I5 8th 16gb 256ssd Touch Screen,,,2.669,127
,Netbook Positivo Mobo S7 (estudos E Emulação De Jogos),4.0,(4),270,45
,"Notebook ASUS Vivobook 15 M1502YA AMD Ryzen 7 5825U 16GB Ram 512GB SSD Linux KeepOS 15,6"" FHD Cool Silver - NJ612",5.0,(4),3.262,313
,"Chromebook Acer R11 2 In 1 Intel  2gb, 32gb Touchscreen 11,6",,,1.295,582
,"Samsung Chromebook 4 Intel Celeron N4020 4GB 64GB Tela 11.6"" Prata XE310XBA-KT4BR",4.6,(350),1.820,175
,Notebook ASUS Vivobook I3 8GB 512GB Endless X1500EA-EJ3667,4.6,(245),2.601,250
,Notebook Acer Aspire 5 A515-45-R36L Ryzen 7 15.6 Radeon 512gb 12gb Linux,4.8,(1031),3.299,317
,Notebook Dell G15 5530 Core I7 13650hx 16gb 1tb Ssd Rtx 4050 Cor Cinza,5.0,(1),8.352,802
,Macbook Air 13 Apple M4 8-core Gpu 16gb Ram 256gb Ssd Preto,5.0,(6),8.450,812
,Notebook Dell Latitude Core I5 8ª Ger 16gb Ssd 256gb Windows Cinza (Recondicionado),,,2.299,109
,"Notebook Dell 3420, Tela Full Hd, I5 11ªger, 16gb, Ssd-256gb Cinza (Recondicionado)",,,2.599,123
Por 123 Comprou ,"Notebook Positivo Vision Intel Core i3 8gb RAM 256gb Ssd Tela 15.6"" Full Hd Linux - Preto",4.6,(176),3.212,2.024
Por NegociuN ,"Notebook Vaio Fe15 Amd Ryzen 5 12gb 512gb Ssd, Tela 15,6'' Full Hd Antirreflexo, Windows 11 Home, Cinza Grafite",4.8,(441),3.670,2.984
Por INPOWER ,"Notebook Gamer Acer Nitro V15 - 15.6 144hz Ips, Intel Core I7 13620h (13ª Geração) 4.90ghz, Nvidia Geforce Rtx 3050 6gb Gddr6, 8gb Ram Ddr5, 512gb Ssd Pcie 4.0 Nvme, Áudio Dts, Preto - Anv15-51-7837",5.0,(48),5.899,4.987
,Elitebook Hp 840 G4 8gb Ram I5 8 Geração Ssd 120,,,1.729,82
,"Notebook Dell, Lat 3490, Tela 14'', I5 7a Ger, 8gb, Ssd256gb - Excelente (Recondicionado)",,,1.899,90
,Notebook Dell Latitude 3490 I5 16gb Ssd 240gb Preto (Recondicionado),,,1.649,78
,Notebook Dell Latitude 7280 I7-6600u 8gb/256 Gb Ssd W10 Pro,,,1.549,73
,Notebook Dell E5450 Core I5 5ªg 8gb Ssd 120gb Wifi Hdmi,,,1.510,71
,Notebook Dell Latitude 3490 Core I5 8th Ram 8gb Ssd 256gb,,,1.550,148
Por 123 Comprou ,Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza,4.6,(606),2.064,1.277
Por Positivo ,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza",4.6,(1184),2.641,1.756
Por 123 Comprou ,Notebook Positivo Vision C15 Lumina Bar Celeron 8gb 128gb Emmc 15 Hd Linux - Cinza,3.7,(3),2.427,1.529
,Hp Probook 640 G8 Intel Core I5 1145g7 Quad Core 463n8ec-ak4 - Excelente (Recondicionado),,,2.799,2.267
,Notebook Dell Inspiron 3421 I3 8gb Ssd 256 Tela 14,5.0,(2),1.450,1.377
,Dell Latitude i5-1335U 256 GB Ssd 8 GB Ddr5 Ips Fhd Win11 Pro cinza escuro,,,4.999,480
,Notebook Asus Vivobook 15 Core I3 4gb 256ssd Linux Prata Cor Prateado,4.5,(69),2.166,208
,"Macbook Pro 14 Apple M4 SSD de 16 GB, 512 GB de espaço, cor preta",4.0,(4),12.529,1.204
,Notebook Asus Ar5b125 - Carcaça Preto (Novo com caixa aberta),,,150,
,Asus Expertbook B1 I3-1315u 8gb Ddr5 256gb Fhd Ips Lacrado Cinza,,,2.299,220
,Notebook 2 A.m. Gamer E550 I5 8gb 256gb  Preto Full Hd Preto (Recondicionado),,,1.890,90
,Notebook Lenovo Thinkpad L14 G1 Ryzen 5 8gb 256gb Preto (Recondicionado),,,1.799,85
,Notebook Dell Latitude E5470 I5 8gb Ssd 256gb Tela Touch,,,1.850,1.665
,Notebook Dell Latitude 5290 I5 7th 8gb 256gb Windows 10,,,1.499,83
,Notebook Dell Inspiron 5458 I5 5200u 8gb Ram Ssd 128gb Preto (Recondicionado),,,1.309,72
,Notebook Lenovo B490 I5 8gb Ssd 240gb Win 11 - 12x Sem Juros,5.0,(1),1.290,1.225
,Notebook Hp 250 G8 Core I5 10th Ssd 240. Últimas Peças!,,,2.352,226
Por Dell ,"Notebook Dell Inspiron 15 Intel Core i7 - 1355U (13ª Geração), 16GB RAM, 1TB SSD, Windows 11 Home, Tela 15,6"" Full HD - I15-I1300-M80P",4.6,(5),5.169,246
Por Dell ,"Notebook Dell Inspiron 15 Intel Core i5 - 1334U 13 Geração 8GB RAM 512GB SSD Linux Tela 15,6"" Full HD I15-I1300-U30P",4.6,(36),3.149,149
Por Dell ,Notebook Dell Inspiron i15-i1300-M30P 15.6 Full HD de 13ª geração 8GB de RAM 512GB SSD cor Preto,4.9,(44),3.479,3.199
,HP Envy X360 2 em 1 Core i5 120u 14 Tac 8gb Ram 512gb Ssd Silver Color,5.0,(1),4.599,219
Por Dell ,Notebook Dell Inspiron I15-i1300-m60p 15.6  Full Hd 13ª Gen  Preto,5.0,(30),4.729,4.399
Por Dell ,Notebook Dell Inspiron 15.6  Full Hd Intel Core 3-100u 8gb 5 Preto,,,3.119,2.899
Por Dell ,Notebook 2 Em 1 Dell Inspiron 2in1-i150u-m50 14  Fhd+ Touch  Prata Gelo,4.9,(14),7.019,6.499
Por Dell ,Notebook Dell Inspiron I15-i1300-u60p 15.6  Full Hd 13ª Gen  Preto,4.9,(46),4.409,4.099
Por Dell ,Notebook Dell 15.6  Fhd Intel I7 16gb 1tb Ssd W11 Preto,,,5.169,246
Por Dell ,Notebook Dell Intel Core 3-100u 8gb 1tb Ssd Win 11 - 15.6'' Preto,,,3.549,3.299
Por Dell ,Notebook Dell Inspiron I15-i1300-m40p 15.6  Full Hd 13ª Gen  Preto,5.0,(5),4.299,3.999
Por Dell ,Notebook 2 Em 1 Dell Inspiron 2in1-i1300-m30 14  Fhd+ Touch  Prata Gelo,4.9,(9),6.149,5.699
Por Dell ,Notebook Gamer Dell G15-i1300-u65p 15.6  Fhd 13ª Geração Int Preto,4.8,(30),7.109,6.599
,Notebook HP 15-fd0023dx 15.6 Fhd Touch de 256 GB/8 GB I3 W11 - prata,4.7,(3),3.359,159
,"Asus Vivobook Flip 16 Ci5-1335U, 8 GB, 512 GB Ssd Touch W11 Midnight Black Color",,,5.299,252
,Notebook Dell Latitude 3490 Core I7-8550 16gb Ram 240gb Ssd,,,2.839,135
,Notebook Dell Inspiron 5490 I7-10510u 16gb Ssd 256gb Nvidia Prateado (Recondicionado),,,2.389,2.269
,"Notebook gamer G15 I1300 15.6"" preto 32GB de Ram - 1.024TB SSD - Intel Core i5",5.0,(9),7.984,380
Por zShops ,"Notebook Lenovo Ideapad 1 Celeron 4gb 128gb Ssd 15,6 W11 Cor Cinza",4.7,(3023),1.999,192
,Notebook Acer Aspire 5 15.6 FHD 512 gb/12 gb Ram i5-1245H W11H cinza,,,3.999,190
,Notebook Dell Latitude Core I7 8ª Ger Ssd 240gb Ram 8gb,5.0,(2),2.699,128
,Notebook Lenovo Thinkbook 14 G6 Core I7-13700h 48gb 512 Ssd,4.8,(6),5.999,4.499
,"MacBook Pro A2141 16"" cinza-espacial 1TB SSD - Intel Core i9 - Excelente (Recondicionado)",,,6.999,6.649
,Notebook Dell Latitude 5400 Ci7 8665u 8va Ram 32gb Ssd 512gb Cor Preto,4.2,(69),3.999,190
,Notebook Asus X515jf-ej153t Core I5 10ª Geração 8gb 256gb,,,2.699,128
,Notebook Dell Latitude 5420 I5 16gb Ssd 256gb Windows 11,,,3.199,152
,"Notebook Dell Latitude 3550 Full HD Intel Core i5-1335U de 16 GB 512 ssd Windows 11 Pro de 15,6 polegadas, cor cinza",,,7.100,338
Por Vikings ,Notebook Lenovo Ideapad 1i Celeron Office 365 4gb 128gb W11 - Excelente (Recondicionado),,,1.499,83
Por 123 Comprou ,"Notebook Positivo Vision Intel Core i3 8gb RAM 256gb Ssd Tela 15.6"" Full Hd Linux - Preto",4.6,(176),3.212,2.024
Por NegociuN ,"Notebook Vaio Fe15 Amd Ryzen 5 12gb 512gb Ssd, Tela 15,6'' Full Hd Antirreflexo, Windows 11 Home, Cinza Grafite",4.8,(441),3.670,2.984
Por INPOWER ,"Notebook Gamer Acer Nitro V15 - 15.6 144hz Ips, Intel Core I7 13620h (13ª Geração) 4.90ghz, Nvidia Geforce Rtx 3050 6gb Gddr6, 8gb Ram Ddr5, 512gb Ssd Pcie 4.0 Nvme, Áudio Dts, Preto - Anv15-51-7837",5.0,(48),5.899,4.987
,Notebook Hp Elitebook 840 G7 Core I5 10° 16gb Ssd 256gb Nvme,4.6,(23),2.589,123
Por OTH Produtos ,"Note Dell, Vostro 3480, 14'', Core I5, 8°ger, 8gb, Ssd-240gb Preto (Recondicionado)",,,1.790,85
,"Notebook ASUS Vivobook 15 X1500EA Intel Pentium Gold 7505 4Gb Ram 128Gb Ssd Windows 11 Home + Microsoft 365 Personal por 1 Ano Tela 15,6"" FHD Indie Black - EJ4242WS",4.5,(61),2.490,2.340
,Notebook Hp Elitebook 830 G5 I5 8 Gen 16gb 256gb Ssd Prata,,,2.099,1.994
,Notebook Lenovo V14 G4 Amd Ryzen 5 7520u 8gb 256gb Dos 14,4.1,(7),4.910,4.222
,Notebook Dell Core I5 8265u 16gb 240gb Ssd 15pol Win 11,4.3,(3),2.899,138
Por 123 Comprou ,Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza,4.6,(606),2.064,1.277
Por Positivo ,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza",4.6,(1184),2.641,1.756
Por 123 Comprou ,Notebook Positivo Vision C15 Lumina Bar Celeron 8gb 128gb Emmc 15 Hd Linux - Cinza,3.7,(3),2.427,1.529
,Dell Notebook Core I5 8th 16gb Ssd Win11 Pro Latitude 5400 Cor Cinza-escuro,4.2,(69),2.999,142
,"Notebook Inspiron 3520 15.6"" negro 8GB de Ram - 256GB SSD - Intel Core i5",4.4,(29),3.775,179
Por Vikings ,"Notebook Lenovo Ideapad 1i Intel Core I3 - 1215U, 4GB RAM, 256GB SSD, Windows 11 Home, Tela 15.6'' - 82VY000TBR Cor cinza - Excelente (Recondicionado)",,,2.199,104
,"Notebook Dell Inspiron 5440 Core I7 de 14 polegadas, 16 GB de RAM, SSD de 512 GB, cinza",5.0,(3),6.487,308
Por Eshop ,Notebook Lenovo Ideapad 1i I5 1235u 8gb 512gb Ssd Win11 Home,5.0,(2),3.959,3.210
,Notebook Microsoft Surface Laptop 3 I5 8gb 256gb,,,3.136,149
Por HP ,Notebook Hp 256r G9 Ci5 Intel Uhd256gb Ssd 8gb W11+mochila,,,4.755,3.134
Por Dell ,Notebook Dell Inspiron I15-i1300-m70ps 15.6  Full Hd 13ªgen  Preto,5.0,(3),4.989,4.649
,"Notebook Latitude 5490 14"" preto 256GB SSD - Intel Core i5 - Excelente (Recondicionado)",,,2.599,1.689
,"Notebook Asus X515ka Celeron W11 15,6 128gb Cinza 4gb Ram",,,2.029,1.918
Por Micro Livre ,Notebook Dell Latitude 3420 I5 11th Com 16gb 512gb - Excelente (Recondicionado),,,2.771,131
,Notebook Gamer Acer Nitro V15 I5-13420h 512gb 8gb Rtx 3050 Cor Preto,,,4.999,4.699
Por Foka Ofertas ,"Notebook Dell Latitude 3550 15,6 Intel I7 8gb 512gb W11pro",5.0,(1),6.999,333
,Notebook Dell Latitude 3410 Core I7 10ger 16gb 500gb Ssd,,,3.299,157
,Notebook Lenovo T490 Core I5-8365u 1.6ghz 16gb Ssd 256gb 14,5.0,(1),1.899,90
,"Notebook ThinkPad E14 14"" black 16GB de Ram 256GB SSD Intel Core i5 - Excelente (Recondicionado)",,,3.199,152
,Chromebook Acer Co731-c6nn Celeron 4gb 32 Emmc,5.0,(2),1.470,81
Por Dell ,Notebook Dell Inspiron I14-i120u-m20 14  Fhd+ Intel® Core 5 Prata Gelo,4.4,(7),5.399,4.999
,Notebook Dell Latitude E5470 I5 6th 8gb Ddr4 Ssd 256gb Preto (Recondicionado),4.0,(1),1.799,85
,P Caderno De Escrita Em Couro Sintético Para Estudantes,,,60,12
Por DLH Tec ,Notebook Lenovo Core I5 8gb 250gb Hd Revisado Com Garantia Preto (Recondicionado),,,800,44
,Netbook Hp Pavilion Dm1 Preto E Prata (Recondicionado),,,510,49
Por OTH Produtos ,"Note Lenovo, Ideapad 1, Core I5 12th, 16gb, Ssd-512gb Prateado (Recondicionado)",,,2.840,273
Por 4Show ,Notebook Vaio I3 7geração Hd 1tb Ram 16gb 15.6',5.0,(3),1.989,94
,Notebook Dell Latitude 5440 Core I7 16 GB 512 GB 14 Fhd Nnet,5.0,(1),6.044,287
,Dell Notebook Core I5 8th 32gb Ssd 1tb Win11 Latitude 5400 Cinza (Recondicionado),,,3.399,161
,Notebook Lenovo V14 G4 Intel Core I3 8gb 256gb Ssd Linux 14,,,2.806,133
Por Vaio ,"Notebook VAIO FE15 AMD Ryzen 7 32GB 512GB SSD Tela 15,6'' Full HD Antirreflexo Linux Cor Cinza Grafite VJFE59F11X-B1011H",4.8,(546),4.599,3.955
Por Positivo ,Notebook Positivo Vision C14 Celeron Linux 8gb 256gb Emmc,4.8,(40),2.199,1.599
,Notebook Lenovo V14 G4 Intel Core i5 8gb 256gb Ssd W11 14 83GK000KBR,5.0,(2),4.999,238
,"Notebook Lenovo, T490, 14, Core I5 8ªth, 16gb, Ssd-256gb",5.0,(1),2.879,137
,(faço Por R$ 4690) Notebook Xiaomi Redmibook 14' 2025,,,5.590,266
,Notebook Lenovo V14 Intel Core i5 8gb 256gb Linux 14 82uls00200 Preto,4.7,(6),2.968,141
,"Suporte Para Tablet Regulável E Desdobrável,",5.0,(1),140,35
,Notebook Asus Vivobook S14 Oled Core Ultra 7 16gb 512ssd W11,5.0,(1),6.399,304
Por Asus ,Notebook Asus Zenbook Snapdragon X1 26 100 32gb Ram 1tb W11 Zabriskie Beige,5.0,(2),9.999,9.119
,Notebook Hp 240 G6 Intel Core I5 7200u 8gb Ssd 240 Gb Nfe,,,1.599,1.519
,Notebook Dell Latitude 3490 I5 7ger 16gb Ssd 240gb Preto (Recondicionado),,,1.800,1.710
,Notebook Dell Latitude 5400 Intel Core I7 8ªger 8gb 256gb Cor Preto - Excelente (Recondicionado),,,1.950,92
,Notebook Lenovo Thinkpad T440s I5 8gb Ssd Teclado Com Led Cor Preto - Excelente (Recondicionado),,,1.300,72
,Notebook Dell I5 6a Ger 6200u 16gb Ddr4/ Ssd E Garantia + Nf Preto (Recondicionado),3.7,(3),1.549,73
Por OTH Produtos ,"Macbook Pro 2017, Tela 13.3'', Core I7, 16gb, Ssd-128gb Prateado (Recondicionado)",,,3.600,346
